"sim","loss"
1175,39129118.623
1176,27448457.458
1177,13115607.1
1178,7035962.02
1179,29280500.556
1180,13034850.119
1181,10390644.406
1182,18366340.022
1183,9790791.068
1184,4564257.228
1185,11526689.066
1186,3412155.768
1187,16170730.639
1188,1594626
1189,3329307
1190,4235017.473
1191,0
1192,6324750.062
1193,27122940.69
1194,17546005.561
1195,28305923.478
1196,2610606.99
1197,8356820.768
1198,47896978.919
1199,7761580.893
1200,160225
1201,630477.74
1202,29732857.027
1203,5422609.768
1204,13443504.018
1205,8345892
1206,2434002
1207,18388530.633
1208,12405060.275
1209,24531900.549
1210,34980590.076
1211,18754198.59
1212,0
1213,15975829.66
1214,7543050.154
1215,558392
1216,31511932.809
1217,19294217.12
1218,25106720.114
1219,726516
1220,1701457.58
1221,21606218.306
1222,10738531.534
1223,11294679.664
1224,9509416.95
1225,1145499.517
1226,34874021.159
1227,16090013.735
1228,2209391.003
1229,48458187.843
1230,13019657.186
1231,19793461.916
1232,16806457.35
1233,10536433.435
1234,12887433.915
1235,3140593.552
1236,1874615.652
1237,13957012.51
1238,26506982.121
1239,5757143.484
1240,16387725.846
1241,13186511.056
1242,282818.24
1243,41299592.576
1244,23780363.182
1245,11730614.639
1246,29454286.948
1247,10327708.993
1248,4018865.168
1249,23014607.079
1250,31303963.322
1251,15991270.432
1252,15868649.872
1253,10294547.963
1254,15413778.494
1255,5802479.472
1256,7399072.144
1257,8416818.416
1258,28879846.354
1259,13334335.378
1260,38633538.115
1261,3356139
1262,13387118.017
1263,20028144.128
1264,0
1265,32929342.237
1266,3188577.751
1267,12036073.435
1268,339864
1269,3691897.451
1270,14443627.28
1271,38501027.115
1272,1894437
1273,5369144.003
1274,863590
1275,6078154.448
1276,750887
1277,1646192
1278,160225
1279,0
1280,1286990.699
1281,8129434.451
1282,27218513.374
1283,0
1284,1354387.58
1285,16783351.369
1286,35685777.392
1287,3846458.88
1288,6740586.683
1289,14393340.077
1290,46433618.241
1291,17479002.918
1292,160225
1293,8175766.328
1294,27507811.928
1295,531909.123
1296,2331846.3
1297,18759869.786
1298,39560551.319
1299,6154568.585
1300,21010919.844
1301,9446540.826
1302,6849273.195
1303,0
1304,2266615
1305,20332911.208
1306,43321172.441
1307,5155987
1308,25642816.721
1309,20599015.178
1310,6024218.993
1311,24195355.273
1312,5591768.435
1313,4766543.348
1314,984194.048
1315,11001805.406
1316,577158.141
1317,8328711.435
1318,0
1319,298397.451
1320,3838025.708
1321,15446138.649
1322,6590857
1323,41590393.053
1324,11483869.735
